game_date,minute,opponent,action_type,shot_type,shot_distance,shot_made
20170415,10,IND,Driving Layup Shot,2PT Field Goal,0,0
20170415,11,IND,Driving Layup Shot,2PT Field Goal,0,1
20170415,14,IND,Layup Shot,2PT Field Goal,0,1
20170415,15,IND,Driving Layup Shot,2PT Field Goal,0,1
20170415,18,IND,Alley Oop Dunk Shot,2PT Field Goal,0,1
20170415,24,IND,Driving Layup Shot,2PT Field Goal,0,1
20170415,25,IND,Turnaround Jump Shot,2PT Field Goal,7,1
20170415,26,IND,Jump Shot,3PT Field Goal,23,1
20170415,29,IND,Jump Shot,3PT Field Goal,25,1
20170415,31,IND,Turnaround Fadeaway shot,2PT Field Goal,11,0
20170415,33,IND,Turnaround Fadeaway shot,2PT Field Goal,8,0
20170415,33,IND,Layup Shot,2PT Field Goal,0,1
20170415,34,IND,Running Dunk Shot,2PT Field Goal,1,1
20170415,38,IND,Fadeaway Jump Shot,2PT Field Goal,13,0
20170415,40,IND,Driving Layup Shot,2PT Field Goal,3,0
20170415,41,IND,Driving Finger Roll Layup Shot,2PT Field Goal,2,1
20170415,42,IND,Driving Layup Shot,2PT Field Goal,0,0
20170415,44,IND,Jump Bank Shot,2PT Field Goal,4,0
20170415,45,IND,Driving Dunk Shot,2PT Field Goal,0,1
20170415,48,IND,Jump Shot,3PT Field Goal,25,0
20170417,1,IND,Running Layup Shot,2PT Field Goal,1,0
20170417,3,IND,Turnaround Jump Shot,2PT Field Goal,7,1
20170417,6,IND,Turnaround Fadeaway shot,2PT Field Goal,16,1
20170417,9,IND,Turnaround Fadeaway shot,2PT Field Goal,12,0
20170417,10,IND,Running Dunk Shot,2PT Field Goal,0,1
20170417,13,IND,Cutting Layup Shot,2PT Field Goal,0,1
20170417,15,IND,Jump Shot,2PT Field Goal,18,1
20170417,16,IND,Driving Dunk Shot,2PT Field Goal,0,1
20170417,19,IND,Turnaround Fadeaway shot,2PT Field Goal,7,1
20170417,23,IND,Jump Shot,2PT Field Goal,8,0
20170417,28,IND,Driving Layup Shot,2PT Field Goal,0,1
20170417,32,IND,Jump Shot,2PT Field Goal,16,0
20170417,34,IND,Jump Shot,3PT Field Goal,24,0
20170417,35,IND,Driving Layup Shot,2PT Field Goal,1,1
20170417,39,IND,Turnaround Fadeaway shot,2PT Field Goal,11,1
20170417,44,IND,Turnaround Jump Shot,2PT Field Goal,11,0
20170417,44,IND,Jump Shot,3PT Field Goal,25,0
20170417,46,IND,Driving Floating Jump Shot,2PT Field Goal,9,1
20170417,47,IND,Step Back Jump shot,2PT Field Goal,16,0
20170417,48,IND,Cutting Layup Shot,2PT Field Goal,2,0
20170420,2,IND,Jump Shot,2PT Field Goal,18,1
20170420,5,IND,Driving Floating Jump Shot,2PT Field Goal,7,0
20170420,8,IND,Pullup Jump shot,3PT Field Goal,25,1
20170420,9,IND,Jump Shot,3PT Field Goal,25,0
20170420,14,IND,Driving Layup Shot,2PT Field Goal,1,0
20170420,14,IND,Driving Reverse Layup Shot,2PT Field Goal,0,1
20170420,15,IND,Jump Shot,3PT Field Goal,23,1
