"aq2.5","time","hour","meds","diff30"
6.14,"2022-04-01 00:01:10 UTC",0,5.375,0.59
5,"2022-04-01 00:03:10 UTC",0,5.375,-0.55
5.29,"2022-04-01 00:05:10 UTC",0,5.375,-0.26
4.73,"2022-04-01 00:07:10 UTC",0,5.375,-0.819999999999999
4.31,"2022-04-01 00:09:10 UTC",0,5.375,-1.24
5.66,"2022-04-01 00:11:10 UTC",0,5.375,0.11
4.41,"2022-04-01 00:13:10 UTC",0,5.375,-1.14
5.55,"2022-04-01 00:15:10 UTC",0,5.375,0
5.63,"2022-04-01 00:17:10 UTC",0,5.375,0.0800000000000001
5.97,"2022-04-01 00:19:10 UTC",0,5.375,0.42
6.88,"2022-04-01 00:21:10 UTC",0,5.375,1.33
5.67,"2022-04-01 00:23:10 UTC",0,5.375,0.12
5.57,"2022-04-01 00:25:10 UTC",0,5.375,0.0200000000000005
5.42,"2022-04-01 00:27:10 UTC",0,5.375,-0.13
5.33,"2022-04-01 00:29:10 UTC",0,5.375,-0.22
5.9,"2022-04-01 11:03:16 UTC",11,6.6,-0.989999999999999
7.14,"2022-04-01 11:05:16 UTC",11,6.6,0.25
6.93,"2022-04-01 11:07:16 UTC",11,6.6,0.04
6.16,"2022-04-01 11:09:16 UTC",11,6.6,-0.73
8.65,"2022-04-01 11:11:16 UTC",11,6.6,1.76
6.2,"2022-04-01 11:13:16 UTC",11,6.6,-0.69
7.84,"2022-04-01 11:15:16 UTC",11,6.6,0.95
7.22,"2022-04-01 11:17:16 UTC",11,6.6,0.33
6.84,"2022-04-01 11:19:16 UTC",11,6.6,-0.0499999999999998
6.81,"2022-04-01 11:21:16 UTC",11,6.6,-0.0800000000000001
6.7,"2022-04-01 11:23:16 UTC",11,6.6,-0.19
6.89,"2022-04-01 11:25:17 UTC",11,6.6,0
7.32,"2022-04-01 11:27:16 UTC",11,6.6,0.430000000000001
7.27,"2022-04-01 11:29:16 UTC",11,6.6,0.38
6.03,"2022-04-01 11:31:16 UTC",11,6.6,-0.859999999999999
8.91,"2022-04-01 19:03:20 UTC",19,8.555,0.0700000000000003
8.53,"2022-04-01 19:05:20 UTC",19,8.555,-0.31
9.43,"2022-04-01 19:07:20 UTC",19,8.555,0.59
8.89,"2022-04-01 19:09:20 UTC",19,8.555,0.0500000000000007
8.69,"2022-04-01 19:11:20 UTC",19,8.555,-0.15
8.59,"2022-04-01 19:13:20 UTC",19,8.555,-0.25
10.37,"2022-04-01 19:15:20 UTC",19,8.555,1.53
9.19,"2022-04-01 19:17:21 UTC",19,8.555,0.35
8.84,"2022-04-01 19:19:20 UTC",19,8.555,0
8.43,"2022-04-01 19:21:20 UTC",19,8.555,-0.41
10.05,"2022-04-01 19:23:20 UTC",19,8.555,1.21
7.88,"2022-04-01 19:25:20 UTC",19,8.555,-0.96
7.55,"2022-04-01 19:27:20 UTC",19,8.555,-1.29
9.47,"2022-04-01 19:29:20 UTC",19,8.555,0.630000000000001
8.55,"2022-04-01 19:31:20 UTC",19,8.555,-0.289999999999999
