"breed","group","datadog","popularity_all","popularity","lifetime_cost","intelligence_rank","longevity","ailments","price","food_cost","grooming","kids","megarank_kids","megarank","size","weight","height"
"Border Collie","herding",3.64,45,39,20143,1,12.52,2,623,324,"weekly","low",1,29,"medium",NA,20
"Border Terrier","terrier",3.61,80,61,22638,30,14,0,833,324,"weekly","high",2,1,"small",13.5,NA
"Brittany","sporting",3.54,30,30,22589,19,12.92,0,618,466,"weekly","medium",3,11,"medium",35,19
"Cairn Terrier","terrier",3.53,59,48,21992,35,13.84,2,435,324,"weekly","high",4,2,"small",14,10
"Welsh Springer Spaniel","sporting",3.34,130,81,20224,31,12.49,1,750,324,"weekly","high",5,4,"medium",NA,18
"English Cocker Spaniel","sporting",3.33,63,51,18993,18,11.66,0,800,324,"weekly","high",6,5,"medium",30,16
"Cocker Spaniel","sporting",3.3,27,27,24330,20,12.5,2,465,674,"weekly","high",7,6,"small",25,14.5
"Papillon","toy",3.26,38,33,21001,8,13,5,740,324,"weekly","medium",8,22,"small",NA,9.5
"Australian Cattle Dog","herding",3.25,60,49,20395,10,11.67,1,530,466,"weekly","low",9,52,"medium",NA,18.5
"Shetland Sheepdog","herding",3.22,20,20,21006,6,12.53,5,465,405,"daily","high",11,8,"small",22,14.5
"Siberian Husky","working",3.22,16,16,22049,45,12.58,0,650,466,"monthly","high",10,3,"medium",47.5,21.75
"Lhasa Apso","non-sporting",3.21,62,50,22031,68,13.92,1,350,324,"weekly","high",12,7,"small",15,10.5
"Affenpinscher","toy",3.2,139,84,18333,37,11.42,0,510,324,"weekly","medium",13,26,"small",NA,10.25
"Dachshund","hound",3.19,9,9,20113,49,12.63,2,423,324,"weekly","low",14,54,"small",24,NA
"Miniature Schnauzer","terrier",3.19,12,12,20087,12,11.81,2,715,405,"weekly","medium",14,27,"small",15.5,13
"Chihuahua","toy",3.15,14,14,26250,67,16.5,1,588,324,"weekly","low",16,55,"small",5.5,5
"Australian Terrier","terrier",3.11,121,77,17892,34,11.05,0,640,324,"weekly","medium",17,30,"small",NA,10.5
"Whippet","hound",3.11,57,46,20976,51,12.87,0,915,324,"weekly","medium",17,30,"medium",NA,20
"English Springer Spaniel","sporting",3.09,29,29,21946,13,12.54,4,615,466,"weekly","high",19,9,"medium",45,19.5
"West Highland White Terrier","terrier",3.08,35,32,20490,47,12.8,3,538,324,"weekly","high",20,10,"small",NA,10.5
"Bedlington Terrier","terrier",3.07,134,83,22107,40,13.51,2,1058,324,"weekly","medium",21,35,"small",20,NA
"Poodle","non-sporting",3.04,8,8,21237,2,11.95,2,900,466,"weekly","medium",22,39,"medium",NA,16
"Bichon Frise","non-sporting",3.03,39,34,19735,45,12.21,0,693,324,"daily","high",25,16,"small",NA,10.5
"German Shorthaired Pointer","sporting",3.03,15,15,25842,17,11.46,1,545,971,"weekly","high",23,12,"large",62.5,24
"Pointer","sporting",3.03,115,74,24445,43,12.42,1,294,710,"weekly","high",24,13,"large",59.5,25.5
"Tibetan Spaniel","non-sporting",3.02,114,73,25549,46,14.42,0,1050,466,"weekly","high",26,14,"small",12,10
"Labrador Retriever","sporting",2.97,1,1,21299,7,12.04,3,810,466,"weekly","high",27,15,"medium",67.5,23
"Maltese","toy",2.93,23,23,19084,59,12.25,1,650,270,"daily","low",29,65,"small",5,9
