CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
17091420,BURGLARY AUTO,07/23/2017 12:00:00 AM,06:00,BURGLARY - VEHICLE,0,08/29/2017 08:28:05 AM,"2500 LE CONTE AVE
Berkeley, CA
(37.876965, -122.260544)",2500 LE CONTE AVE,Berkeley,CA
17020462,THEFT FROM PERSON,04/13/2017 12:00:00 AM,08:45,LARCENY,4,08/29/2017 08:28:00 AM,"2200 SHATTUCK AVE
Berkeley, CA
(37.869363, -122.268028)",2200 SHATTUCK AVE,Berkeley,CA
17050275,BURGLARY AUTO,08/24/2017 12:00:00 AM,18:30,BURGLARY - VEHICLE,4,08/29/2017 08:28:06 AM,"200 UNIVERSITY AVE
Berkeley, CA
(37.865491, -122.310065)",200 UNIVERSITY AVE,Berkeley,CA
17019145,GUN/WEAPON,04/06/2017 12:00:00 AM,17:30,WEAPONS OFFENSE,4,08/29/2017 08:27:59 AM,"1900 SEVENTH ST
Berkeley, CA
(37.869318, -122.296984)",1900 SEVENTH ST,Berkeley,CA
17044993,VEHICLE STOLEN,08/01/2017 12:00:00 AM,18:00,MOTOR VEHICLE THEFT,2,08/29/2017 08:28:05 AM,"100 PARKSIDE DR
Berkeley, CA
(37.854247, -122.24375)",100 PARKSIDE DR,Berkeley,CA
17037319,BURGLARY RESIDENTIAL,06/28/2017 12:00:00 AM,12:00,BURGLARY - RESIDENTIAL,3,08/29/2017 08:28:03 AM,"1500 PRINCE ST
Berkeley, CA
(37.851503, -122.278518)",1500 PRINCE ST,Berkeley,CA
17030791,BURGLARY RESIDENTIAL,05/30/2017 12:00:00 AM,08:45,BURGLARY - RESIDENTIAL,2,08/29/2017 08:28:00 AM,"300 MENLO PL
Berkeley, CA
",300 MENLO PL,Berkeley,CA
17091066,BURGLARY AUTO,05/29/2017 12:00:00 AM,17:00,BURGLARY - VEHICLE,1,08/29/2017 08:28:01 AM,"2317 SHATTUCK AVE
Berkeley, CA
(37.867326, -122.267687)",2317 SHATTUCK AVE,Berkeley,CA
17031395,VANDALISM,06/01/2017 12:00:00 AM,20:00,VANDALISM,4,08/29/2017 08:28:00 AM,"ACTON STREET &amp; PARKER ST
Berkeley, CA
(37.860172, -122.282847)",ACTON STREET & PARKER ST,Berkeley,CA
17041467,DISTURBANCE,07/17/2017 12:00:00 AM,01:30,DISORDERLY CONDUCT,1,08/29/2017 08:28:04 AM,"2100 SEVENTH ST
Berkeley, CA
(37.866936, -122.296218)",2100 SEVENTH ST,Berkeley,CA
17090841,THEFT MISD. (UNDER $950),04/26/2017 12:00:00 AM,15:00,LARCENY,3,08/29/2017 08:28:00 AM,"2500 COLLEGE AVE
Berkeley, CA
(37.865711, -122.25389)",2500 COLLEGE AVE,Berkeley,CA
17038302,BURGLARY AUTO,07/02/2017 12:00:00 AM,22:00,BURGLARY - VEHICLE,0,08/29/2017 08:28:03 AM,"BOWDITCH STREET &amp; CHANNING WAY
Berkeley, CA
(37.867209, -122.256554)",BOWDITCH STREET & CHANNING WAY,Berkeley,CA
17018627,THEFT FROM AUTO,03/28/2017 12:00:00 AM,12:00,LARCENY - FROM VEHICLE,2,08/29/2017 08:27:59 AM,"2000 FRANCISCO ST
Berkeley, CA
(37.875391, -122.271141)",2000 FRANCISCO ST,Berkeley,CA
17046489,DOMESTIC VIOLENCE,08/08/2017 12:00:00 AM,21:00,FAMILY OFFENSE,2,08/29/2017 08:28:05 AM,"2100 ASHBY AVE
Berkeley, CA
(37.855293, -122.266502)",2100 ASHBY AVE,Berkeley,CA
17090794,THEFT MISD. (UNDER $950),04/20/2017 12:00:00 AM,12:00,LARCENY,4,08/29/2017 08:28:00 AM,"2100 EMERSON ST
Berkeley, CA
(37.854536, -122.266403)",2100 EMERSON ST,Berkeley,CA
17014095,THEFT FELONY (OVER $950),03/13/2017 12:00:00 AM,16:45,LARCENY,1,08/29/2017 08:27:58 AM,"SHATTUCK AVENUE &amp; ALLSTON WAY
Berkeley, CA
(37.86939, -122.267883)",SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA
17016587,ALCOHOL OFFENSE,03/25/2017 12:00:00 AM,00:55,LIQUOR LAW VIOLATION,6,08/29/2017 08:27:59 AM,"UNIVERSITY AVENUE &amp; GRANT ST
Berkeley, CA
(37.871318, -122.275278)",UNIVERSITY AVENUE & GRANT ST,Berkeley,CA
17049346,THEFT MISD. (UNDER $950),08/20/2017 12:00:00 AM,23:20,LARCENY,0,08/29/2017 08:28:05 AM,"2900 CHANNING WAY
Berkeley, CA
(37.867948, -122.250664)",2900 CHANNING WAY,Berkeley,CA
17014188,ALCOHOL OFFENSE,03/11/2017 12:00:00 AM,18:30,LIQUOR LAW VIOLATION,6,08/29/2017 08:27:59 AM,"2500 DURANT AVE
Berkeley, CA
(37.867852, -122.258699)",2500 DURANT AVE,Berkeley,CA
17045903,MISSING JUVENILE,08/04/2017 12:00:00 AM,12:00,MISSING PERSON,5,08/29/2017 08:28:05 AM,"1200 FRANCISCO ST
Berkeley, CA
(37.87304, -122.289659)",1200 FRANCISCO ST,Berkeley,CA
17034383,DISTURBANCE,06/15/2017 12:00:00 AM,14:30,DISORDERLY CONDUCT,4,08/29/2017 08:28:03 AM,"STUART STREET &amp; ADELINE ST
Berkeley, CA
(37.858439, -122.26757)",STUART STREET & ADELINE ST,Berkeley,CA
17026118,BURGLARY AUTO,05/08/2017 12:00:00 AM,19:00,BURGLARY - VEHICLE,1,08/29/2017 08:28:00 AM,"2400 MCGEE AVE
Berkeley, CA
(37.864397, -122.276835)",2400 MCGEE AVE,Berkeley,CA
17090933,BURGLARY AUTO,05/10/2017 12:00:00 AM,16:30,BURGLARY - VEHICLE,3,08/29/2017 08:28:00 AM,"100 SEAWALL DR
Berkeley, CA
(37.863611, -122.317566)",100 SEAWALL DR,Berkeley,CA
17017335,ROBBERY,03/28/2017 12:00:00 AM,16:29,ROBBERY,2,08/29/2017 08:27:59 AM,"2000 WOOLSEY ST
Berkeley, CA
(37.852174, -122.267824)",2000 WOOLSEY ST,Berkeley,CA
17091319,THEFT MISD. (UNDER $950),07/09/2017 12:00:00 AM,04:15,LARCENY,0,08/29/2017 08:28:04 AM,"2100 RUSSELL ST
Berkeley, CA
(37.856719, -122.266672)",2100 RUSSELL ST,Berkeley,CA
17091356,VANDALISM,07/13/2017 12:00:00 AM,21:30,VANDALISM,4,08/29/2017 08:28:04 AM,"3000 DOHR ST
Berkeley, CA
(37.853221, -122.280832)",3000 DOHR ST,Berkeley,CA
17091255,IDENTITY THEFT,06/29/2017 12:00:00 AM,13:10,FRAUD,4,08/29/2017 08:28:03 AM,"10 BRIDGE RD
Berkeley, CA
(37.855584, -122.238474)",10 BRIDGE RD,Berkeley,CA
17044238,DISTURBANCE,07/30/2017 12:00:00 AM,01:16,DISORDERLY CONDUCT,0,08/29/2017 08:28:05 AM,"TELEGRAPH AVENUE &amp; DURANT AVE
Berkeley, CA
(37.867816, -122.258994)",TELEGRAPH AVENUE & DURANT AVE,Berkeley,CA
17043329,THEFT FELONY (OVER $950),07/25/2017 12:00:00 AM,16:00,LARCENY,2,08/29/2017 08:28:05 AM,"1900 SHATTUCK AVE
Berkeley, CA
(37.873687, -122.268616)",1900 SHATTUCK AVE,Berkeley,CA
17012577,BURGLARY AUTO,03/06/2017 12:00:00 AM,05:56,BURGLARY - VEHICLE,1,08/29/2017 08:27:58 AM,"COLUSA AVENUE &amp; SOLANO AVE
Berkeley, CA
(37.891368, -122.279257)",COLUSA AVENUE & SOLANO AVE,Berkeley,CA
17032609,THEFT FROM AUTO,06/07/2017 12:00:00 AM,00:01,LARCENY - FROM VEHICLE,3,08/29/2017 08:28:01 AM,"2700 REGENT ST
Berkeley, CA
(37.861573, -122.257452)",2700 REGENT ST,Berkeley,CA
17038378,DISTURBANCE,07/03/2017 12:00:00 AM,10:49,DISORDERLY CONDUCT,1,08/29/2017 08:28:03 AM,"2500 REGENT ST
Berkeley, CA
(37.865202, -122.257795)",2500 REGENT ST,Berkeley,CA
17029377,ASSAULT/BATTERY MISD.,05/24/2017 12:00:00 AM,08:00,ASSAULT,3,08/29/2017 08:28:01 AM,"M L KING JR WAY &amp; STUART ST
Berkeley, CA
",M L KING JR WAY & STUART ST,Berkeley,CA
17028137,THEFT FROM AUTO,05/12/2017 12:00:00 AM,21:00,LARCENY - FROM VEHICLE,5,08/29/2017 08:28:00 AM,"UNIVERSITY AVENUE &amp; BONAR ST
Berkeley, CA
(37.869642, -122.287492)",UNIVERSITY AVENUE & BONAR ST,Berkeley,CA
17029195,THEFT MISD. (UNDER $950),05/23/2017 12:00:00 AM,12:30,LARCENY,2,08/29/2017 08:28:00 AM,"2100 HEARST AVE
Berkeley, CA
(37.873909, -122.268233)",2100 HEARST AVE,Berkeley,CA
