chamber,session,roll call,member,vote
House,1,555,A000374,Not Voting
House,1,555,A000370,Yes
House,1,555,A000055,No
House,1,555,A000371,Yes
House,1,555,A000372,No
House,1,555,A000376,Yes
House,1,555,A000367,Yes
House,1,555,A000369,No
House,1,555,A000377,No
House,1,555,A000375,No
House,1,555,A000378,Yes
House,1,555,B001291,No
House,1,555,B001298,No
House,1,555,B001307,No
House,1,555,B001306,Not Voting
House,1,555,B001299,No
House,1,555,B001282,No
House,1,555,B001300,Yes
House,1,555,B001270,Yes
House,1,555,B001281,Not Voting
House,1,555,B001287,Yes
House,1,555,B001301,No
House,1,555,B001292,Yes
House,1,555,B001302,No
House,1,555,B001257,No
House,1,555,B000490,Yes
House,1,555,B001311,No
House,1,555,B001250,No
House,1,555,B000574,Yes
House,1,555,B001303,Yes
House,1,555,B001278,Yes
House,1,555,B001295,No
House,1,555,B001296,Yes
House,1,555,B000755,No
House,1,555,B001308,Yes
House,1,555,B001274,No
House,1,555,B001284,No
House,1,555,B001304,Yes
House,1,555,B001285,Yes
House,1,555,B001260,No
House,1,555,B001297,No
House,1,555,B001275,No
House,1,555,B001305,No
House,1,555,B001309,No
House,1,555,B001248,No
House,1,555,B001286,Yes
House,1,555,B001251,Yes
House,1,555,B001289,No
House,1,555,C000059,No
House,1,555,C001112,Yes
House,1,555,C001097,Yes
House,1,555,C001072,Yes
House,1,555,C001103,No
House,1,555,C001051,No
House,1,555,C001090,Yes
House,1,555,C001055,Yes
House,1,555,C001117,Yes
House,1,555,C001066,Yes
House,1,555,C001091,Yes
House,1,555,C000266,No
House,1,555,C001109,Not Voting
House,1,555,C001080,Yes
House,1,555,C001084,Yes
House,1,555,C001123,Yes
House,1,555,C001101,Yes
House,1,555,C001067,Yes
House,1,555,C001049,Yes
House,1,555,C001061,Yes
House,1,555,C001118,No
House,1,555,C001115,No
House,1,555,C000537,Not Voting
House,1,555,C001068,Yes
House,1,555,C001053,No
House,1,555,C001093,No
House,1,555,C001092,No
House,1,555,C001108,No
House,1,555,C001062,No
House,1,555,C001078,Yes
House,1,555,C001094,No
House,1,555,C000754,Yes
House,1,555,C001110,Yes
House,1,555,C001059,Yes
House,1,555,C001069,Yes
House,1,555,C001124,Yes
House,1,555,C001119,Yes
House,1,555,C001087,Not Voting
House,1,555,C001120,No
House,1,555,C001111,Yes
House,1,555,C001121,Yes
House,1,555,C001063,Yes
House,1,555,C000984,Not Voting
House,1,555,C001122,Yes
House,1,555,C001114,No
House,1,555,D000629,Yes
House,1,555,D000626,No
House,1,555,D000598,Yes
House,1,555,D000096,Yes
House,1,555,D000619,No
House,1,555,D000631,Yes
House,1,555,D000191,Yes
House,1,555,D000197,Yes
House,1,555,D000216,Yes
House,1,555,D000617,Yes
House,1,555,D000630,Yes
House,1,555,D000627,Yes
House,1,555,D000623,Yes
House,1,555,D000616,Not Voting
House,1,555,D000610,Yes
House,1,555,D000600,No
House,1,555,D000624,Yes
House,1,555,D000399,Yes
House,1,555,D000482,Yes
House,1,555,D000615,No
House,1,555,D000628,No
House,1,555,E000294,No
House,1,555,E000179,Yes
House,1,555,E000299,Not Voting
House,1,555,E000215,Yes
House,1,555,E000297,Yes
House,1,555,E000298,No
House,1,555,E000296,Yes
House,1,555,F000465,No
House,1,555,F000467,Yes
House,1,555,F000466,No
House,1,555,F000459,No
House,1,555,F000468,Yes
House,1,555,F000461,No
House,1,555,F000449,No
House,1,555,F000454,Yes
House,1,555,F000450,No
House,1,555,F000462,Yes
House,1,555,F000455,Yes
House,1,555,F000469,No
House,1,555,G000571,Not Voting
House,1,555,G000578,No
House,1,555,G000579,Not Voting
House,1,555,G000574,Yes
House,1,555,G000559,Yes
House,1,555,G000586,Yes
House,1,555,G000587,Yes
House,1,555,G000584,No
House,1,555,G000563,No
House,1,555,G000552,No
House,1,555,G000592,Yes
House,1,555,G000585,Yes
House,1,555,G000588,No
House,1,555,G000581,Yes
House,1,555,G000589,No
House,1,555,G000565,No
House,1,555,G000583,Yes
House,1,555,G000377,No
House,1,555,G000560,No
House,1,555,G000577,No
House,1,555,G000546,No
House,1,555,G000590,No
House,1,555,G000553,Yes
House,1,555,G000568,No
House,1,555,G000551,Yes
House,1,555,G000576,No
House,1,555,G000591,No
House,1,555,G000558,No
House,1,555,H001080,Yes
House,1,555,H001088,No
House,1,555,H001090,Yes
House,1,555,H001052,No
House,1,555,H001053,No
House,1,555,H000324,Yes
House,1,555,H001081,Yes
House,1,555,H001064,Yes
House,1,555,H001082,No
House,1,555,H001056,No
House,1,555,H001071,No
House,1,555,H001077,Not Voting
House,1,555,H001038,Yes
House,1,555,H001072,No
House,1,555,H001087,Not Voting
House,1,555,H001047,Yes
House,1,555,H001065,No
House,1,555,H001074,No
House,1,555,H001083,Yes
House,1,555,H001066,Yes
House,1,555,H001085,Yes
House,1,555,H000874,Yes
House,1,555,H001067,No
House,1,555,H001068,Not Voting
House,1,555,H001058,No
House,1,555,H001048,No
House,1,555,H001073,Not Voting
House,1,555,J000032,Yes
House,1,555,J000298,Yes
House,1,555,J000294,Yes
House,1,555,J000288,Yes
House,1,555,J000299,Not Voting
House,1,555,J000292,No
House,1,555,J000301,No
House,1,555,J000126,Yes
House,1,555,J000289,No
House,1,555,J000295,No
House,1,555,J000302,No
House,1,555,K000009,Yes
House,1,555,K000386,No
