"year","place","age","time"
1999,1,28,2819
1999,2,24,2821
1999,3,27,2823
1999,4,28,2827
1999,5,26,2851
1999,6,25,2853
1999,7,26,2857
1999,8,30,2950
1999,9,38,2962
1999,10,30,2963
1999,11,24,2966
1999,12,21,2977
1999,13,23,3005
1999,14,27,3017
1999,15,28,3035
1999,16,31,3040
1999,17,26,3060
1999,18,28,3075
1999,19,27,3077
1999,20,25,3102
1999,21,35,3142
1999,22,35,3145
1999,23,37,3147
1999,24,38,3149
1999,25,26,3152
1999,26,28,3160
1999,27,29,3177
1999,28,31,3204
1999,29,51,3243
1999,30,34,3253
1999,31,33,3256
1999,32,41,3258
1999,33,25,3268
1999,34,40,3268
1999,35,30,3270
1999,36,29,3283
1999,37,26,3295
1999,38,29,3295
1999,39,30,3297
1999,40,28,3299
1999,41,47,3311
1999,42,28,3317
1999,43,24,3327
1999,44,30,3330
1999,45,29,3340
1999,46,23,3340
1999,47,45,3349
1999,48,41,3350
1999,49,42,3351
1999,50,27,3352
1999,51,27,3354
1999,52,38,3356
1999,53,38,3359
1999,54,32,3366
1999,55,38,3371
1999,56,33,3383
1999,57,41,3387
1999,58,44,3394
1999,59,38,3397
1999,60,38,3400
1999,61,37,3401
1999,62,27,3409
1999,63,37,3410
1999,64,33,3417
1999,65,33,3419
1999,66,41,3420
1999,67,40,3444
1999,68,46,3446
1999,69,33,3459
1999,70,20,3467
1999,71,23,3472
1999,72,31,3475
1999,73,50,3476
1999,74,40,3478
1999,75,34,3483
1999,76,33,3494
1999,77,44,3496
1999,78,34,3496
1999,79,38,3497
1999,80,27,3503
1999,81,42,3505
1999,82,38,3509
1999,83,47,3509
1999,84,38,3519
1999,85,38,3524
1999,86,28,3528
1999,87,37,3531
1999,88,35,3537
1999,89,36,3541
1999,90,26,3542
1999,91,25,3545
1999,92,41,3545
1999,93,42,3547
1999,94,34,3548
1999,95,40,3548
1999,96,31,3557
1999,97,30,3557
1999,98,34,3558
1999,99,39,3569
1999,100,26,3571
1999,101,34,3572
1999,102,20,3578
1999,103,30,3582
1999,104,25,3583
1999,105,40,3587
1999,106,35,3589
1999,107,11,3590
1999,108,49,3591
1999,109,24,3592
1999,110,30,3596
1999,111,38,3599
1999,112,27,3600
1999,113,29,3601
1999,114,43,3607
1999,115,32,3608
1999,116,33,3611
1999,117,43,3614
1999,118,31,3619
1999,119,50,3620
1999,120,38,3623
1999,121,31,3629
1999,122,38,3637
1999,123,25,3638
1999,124,38,3640
1999,125,29,3645
