cz,czname,stateabbrv,aum,rm,pop2000,intersects_msa,cs_race_bla,cs_race_theil_2000,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,gini99,frac_middleclass,taxrate,subcty_total_expenditure_pc,tax_st_diff_top20,eitc_exposure,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_labforce,cs_elf_ind_man,d_tradeusch_pw_1990,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,rel_tot,crime_violent,cs_fam_wkidsinglemom,cs_divorced,cs_married,incgrowth0010
100.0,Johnson City,TN,38.3875,0.3717,576081,1.0,0.02084082,0.09038374,0.034865685,0.03015319,0.038239542,0.32525778,31559.768,0.46804,13.459,0.33345,0.54796,0.017183715,1886.1483,0.0,0.0,5.184547164957043,,2.728379,-0.015265618,0.013886936,4816.8154,-0.0024311612,0.58734745,0.23739718,5.293786338666029,0.0037529,0.005639831898639254,0.004697256115025491,0.011783706,-0.29785830035722505,0.51440334,0.001409524,0.18980315,0.11017292,0.6008929,-0.0022776292
200.0,Morristown,TN,37.776752,0.35611,227816,1.0,0.01977912,0.09315301,0.026280908,0.027858246,0.025334772,0.2764278,29958.934,0.43459,10.6310005,0.32828,0.5375,0.018880775,2004.3368,0.0,0.0,4.505885578369306,,-3.4002736,-0.02352069,0.008779014,4762.225,-0.101182744,0.6249742,0.23775563,3.030479166438892,0.0047773,0.016206061031709802,0.014235172244267303,0.023055315,-0.7673547734994611,0.54389507,0.0018435931,0.18510601,0.11595841,0.6133591,-0.0021528497
301.0,Middlesborough,TN,39.04925,0.37557,66708,0.0,0.014645919,0.06425009,0.024081122,0.014683077,0.025814319,0.35853583,22328.484,0.44095,10.691,0.33404002,0.46685,0.012750143,1189.8202,0.0,0.0,5.614119018226621,15.084936936936936,-9.315062,-0.0046290583,0.044972118,11840.353,0.11129849,0.47896314,0.2335314,2.062596351676532,0.0028932,0.008050008994423458,0.011602806260118727,0.007078037,-1.2702512717152377,0.66780597,0.00085447024,0.21100271,0.113451436,0.59028035,-0.0037121451
302.0,Knoxville,TN,37.841248,0.37253,727600,1.0,0.05636476,0.20999432,0.09210362,0.0842674,0.10196562,0.2685696,35884.293,0.50832,15.080001,0.35751998,0.5041,0.016066732,2356.8506,0.0,0.0,4.899846249463375,,-6.031831,-0.011071121,0.010995052,3480.4353,-0.023826126,0.61483055,0.1455054,1.0783084976265715,0.0042875,0.016302913688840022,0.013554150632215503,0.01996747,-0.221884615529828,0.60195297,0.0013441452,0.20560226,0.114277795,0.57514995,-0.0019974154
401.0,Winston-Salem,NC,36.96925,0.38913,493180,1.0,0.17353097,0.262388,0.07186666,0.061080586,0.080625534,0.2918141,38891.746,0.46553,11.917,0.34636,0.49991,0.015877746,1891.4504,1.0,0.0,5.462676324912767,15.385280906737568,-2.2970347,0.022966137,0.014193601,9715.328,0.0515534,0.656087,0.21519853,1.0160847787977956,0.0037629,0.02210146396853076,0.01861997647917596,0.052948195,-0.01779595878475677,0.48793748,0.0026578652,0.22047086,0.09235052,0.5858972,-0.014049402
402.0,Martinsville,VA,37.29525,0.42257,92753,0.0,0.22380947,0.13652563,0.023731109,0.015375408,0.028269544,0.31302428,31264.812,0.44448,10.679999,0.33768,0.53839,0.013621727,1557.879,0.0,0.0,5.739860071432066,,4.2273808,,0.010781323,1113.0,-0.115502454,0.59939295,0.39450666,3.2766714138018473,0.0032874001,0.0068137957801903985,0.010069755156167455,0.024992118,-0.9028151331519464,0.45443273,0.0018975127,0.24088506,0.09563996,0.5795217,-0.011383228
500.0,Greensboro,NC,36.47725,0.39521,1055133,1.0,0.21755931,0.22006495,0.06765316,0.05758893,0.076798044,0.30493262,36581.84,0.52358,18.228,0.3413,0.51009,0.014899475,1932.4557,1.0,0.0,5.007796304470756,16.678006566063814,-3.7159934,0.015528088,0.014216217,4528.4893,-0.017433494,0.66594464,0.26134688,2.0505001447139284,0.0035349,0.016507871519514602,0.015370574136151557,0.050223336,-0.513180378824653,0.433969,0.0034608566,0.23660554,0.09554718,0.5601948,-0.0135504035
601.0,North Wilkesboro,NC,38.344498,0.38886,90016,0.0,0.031927656,0.11409641,0.011896075,0.008601978,0.0124235265,0.2893356,31544.059,0.44603,12.645,0.31958,0.56018,0.01080706,1661.0255,1.0,0.0,5.296090728659817,16.17796976241901,6.6981893,0.021033235,0.011109136,880.0,-0.123175,0.617435,0.27537945,2.5728526981305695,0.0033693998,0.011975648773551369,0.011886775684322786,0.027426854,-0.19309308645297565,0.5613891,0.0026572384,0.16520125,0.0873082,0.6322625,-0.010825817
602.0,Galax,VA,40.813,0.41348,64676,0.0,0.028959738,0.13119748,0.0054097157,0.004165713,0.005661258,0.325102,30683.008,0.35621,8.705999,0.26915,0.60842,0.010872228,1208.0938,0.0,0.0,5.376679333555171,12.326297814207651,4.8995543,,,,,0.59368616,0.32108366,4.3025831157713785,0.0039142002,0.005535283567320181,0.005798132228338178,0.022852449,-0.8011903647056743,0.43017504,0.001329705,0.16680239,0.08945576,0.6222348,-0.00967354
700.0,Spartanburg,SC,36.406,0.4044,354533,1.0,0.20749831,0.1394965,0.0451206,0.0441604,0.045174144,0.29897046,33416.754,0.4713,13.061001,0.34069002,0.5285,0.0155269075,2498.8054,0.0,0.0,5.421495123661611,15.939934342709524,-1.0086955,,0.019744283,7264.3633,0.0066846753,0.62953085,0.29463103,0.945886281670405,0.0039405,0.017028034061709347,0.015558495259961697,0.029063905,-1.0008878319642847,0.59608555,0.0032782655,0.24610297,0.09868777,0.56131065,-0.013856686
