country,mortality,fertility
Afghanistan,6.82,4.48
Albania,1.33,1.71
Algeria,2.3899999999999997,2.71
Angola,8.309999999999999,5.62
Antigua and Barbuda,0.8160000000000001,2.04
Argentina,1.09,2.28
Armenia,1.3199999999999998,1.6
Australia,0.352,1.84
Austria,0.309,1.5
Azerbaijan,3.09,2.06
Bahamas,1.05,1.76
Bahrain,0.729,2.01
Bangladesh,3.3299999999999996,2.08
Barbados,1.1800000000000002,1.8
Belarus,0.379,1.71
Belgium,0.369,1.79
Belize,1.44,2.48
Benin,9.65,4.91
Bhutan,3.08,2.02
Bolivia,3.5200000000000005,2.84
Bosnia and Herzegovina,0.567,1.38
Botswana,3.8200000000000003,2.68
Brazil,1.47,1.71
Brunei,0.9400000000000001,1.86
Bulgaria,0.776,1.58
Burkina Faso,8.290000000000001,5.27
Burundi,7.1,5.62
Cambodia,2.85,2.53
Cameroon,7.81,4.64
Canada,0.492,1.57
Cape Verde,2.1,2.3
Central African Republic,12.2,4.8
Chad,12.5,5.85
Chile,0.787,1.77
China,1.02,1.63
Colombia,1.49,1.83
Comoros,7.279999999999999,4.28
"Congo, Dem. Rep.",9.25,6.02
"Congo, Rep.",5.13,4.6
Costa Rica,0.8859999999999999,1.77
Cote d'Ivoire,8.75,4.85
Croatia,0.45199999999999996,1.45
Cuba,0.53,1.72
Cyprus,0.253,1.34
Denmark,0.4,1.75
Djibouti,6.409999999999999,2.79
Dominican Republic,3.0,2.39
Ecuador,2.05,2.46
Egypt,2.2,3.21
El Salvador,1.44,2.06
Equatorial Guinea,8.870000000000001,4.6
Eritrea,4.12,4.06
Estonia,0.296,1.65
Ethiopia,5.63,4.08
Fiji,2.1100000000000003,2.49
Finland,0.20800000000000002,1.78
France,0.365,1.98
Gabon,4.720000000000001,3.72
Gambia,6.49,5.36
Georgia,1.08,1.99
Germany,0.329,1.47
Ghana,5.779999999999999,3.93
Greece,0.359,1.3
Grenada,1.5,2.08
Guatemala,2.7399999999999998,2.92
Guinea,8.370000000000001,4.78
Guinea-Bissau,8.64,4.56
Guyana,3.2399999999999998,2.49
Haiti,6.58,2.87
Honduras,1.8399999999999999,2.42
Hungary,0.515,1.39
Iceland,0.21200000000000002,1.92
India,4.24,2.3
