leg_id,first,last,gender,state,chamber,party,birthday
B000944,Sherrod,Brown,M,OH,sen,Democrat,1952-11-09
C000127,Maria,Cantwell,F,WA,sen,Democrat,1958-10-13
C000141,Benjamin,Cardin,M,MD,sen,Democrat,1943-10-05
C000174,Thomas,Carper,M,DE,sen,Democrat,1947-01-23
C001070,Robert,Casey,M,PA,sen,Democrat,1960-04-13
F000062,Dianne,Feinstein,F,CA,sen,Democrat,1933-06-22
K000367,Amy,Klobuchar,F,MN,sen,Democrat,1960-05-25
M000639,Robert,Menendez,M,NJ,sen,Democrat,1954-01-01
S000033,Bernard,Sanders,M,VT,sen,Independent,1941-09-08
S000770,Debbie,Stabenow,F,MI,sen,Democrat,1950-04-29
T000464,Jon,Tester,M,MT,sen,Democrat,1956-08-21
W000802,Sheldon,Whitehouse,M,RI,sen,Democrat,1955-10-20
B001261,John,Barrasso,M,WY,sen,Republican,1952-07-21
W000437,Roger,Wicker,M,MS,sen,Republican,1951-07-05
A000360,Lamar,Alexander,M,TN,sen,Republican,1940-07-03
C001035,Susan,Collins,F,ME,sen,Republican,1952-12-07
C001056,John,Cornyn,M,TX,sen,Republican,1952-02-02
D000563,Richard,Durbin,M,IL,sen,Democrat,1944-11-21
E000285,Michael,Enzi,M,WY,sen,Republican,1944-02-01
G000359,Lindsey,Graham,M,SC,sen,Republican,1955-07-09
I000024,James,Inhofe,M,OK,sen,Republican,1934-11-17
M000355,Mitch,McConnell,M,KY,sen,Republican,1942-02-20
M001176,Jeff,Merkley,M,OR,sen,Democrat,1956-10-24
R000122,John,Reed,M,RI,sen,Democrat,1949-11-12
R000584,James,Risch,M,ID,sen,Republican,1943-05-03
R000307,Pat,Roberts,M,KS,sen,Republican,1936-04-20
S001181,Jeanne,Shaheen,F,NH,sen,Democrat,1947-01-28
U000039,Tom,Udall,M,NM,sen,Democrat,1948-05-18
W000805,Mark,Warner,M,VA,sen,Democrat,1954-12-15
G000555,Kirsten,Gillibrand,F,NY,sen,Democrat,1966-12-09
C001088,Chris,Coons,M,DE,sen,Democrat,1963-09-09
M001183,Joe,Manchin,M,WV,sen,Democrat,1947-08-24
A000055,Robert,Aderholt,M,AL,rep,Republican,1965-07-22
A000367,Justin,Amash,M,MI,rep,Libertarian,1980-04-18
B001230,Tammy,Baldwin,F,WI,sen,Democrat,1962-02-11
B001270,Karen,Bass,F,CA,rep,Democrat,1953-10-03
B001267,Michael,Bennet,M,CO,sen,Democrat,1964-11-28
B001257,Gus,Bilirakis,M,FL,rep,Republican,1963-02-08
B001250,Rob,Bishop,M,UT,rep,Republican,1951-07-13
B000490,Sanford,Bishop,M,GA,rep,Democrat,1947-02-04
B001243,Marsha,Blackburn,F,TN,sen,Republican,1952-06-06
B000574,Earl,Blumenauer,M,OR,rep,Democrat,1948-08-16
B001277,Richard,Blumenthal,M,CT,sen,Democrat,1946-02-13
B000575,Roy,Blunt,M,MO,sen,Republican,1950-01-10
B001236,John,Boozman,M,AR,sen,Republican,1950-12-10
B000755,Kevin,Brady,M,TX,rep,Republican,1955-04-11
B001274,Mo,Brooks,M,AL,rep,Republican,1954-04-29
B001260,Vern,Buchanan,M,FL,rep,Republican,1951-05-08
B001275,Larry,Bucshon,M,IN,rep,Republican,1962-05-31
B001248,Michael,Burgess,M,TX,rep,Republican,1950-12-23
B001135,Richard,Burr,M,NC,sen,Republican,1955-11-30
B001251,George,Butterfield,M,NC,rep,Democrat,1947-04-27
C000059,Ken,Calvert,M,CA,rep,Republican,1953-06-08
C001047,Shelley,Capito,F,WV,sen,Republican,1953-11-26
C001072,André,Carson,M,IN,rep,Democrat,1974-10-16
C001051,John,Carter,M,TX,rep,Republican,1941-11-06
C001075,Bill,Cassidy,M,LA,sen,Republican,1957-09-28
C001066,Kathy,Castor,F,FL,rep,Democrat,1966-08-20
C000266,Steve,Chabot,M,OH,rep,Republican,1953-01-22
C001080,Judy,Chu,F,CA,rep,Democrat,1953-07-07
C001084,David,Cicilline,M,RI,rep,Democrat,1961-07-15
C001067,Yvette,Clarke,F,NY,rep,Democrat,1964-11-21
C001049,Wm.,Clay,M,MO,rep,Democrat,1956-07-27
C001061,Emanuel,Cleaver,M,MO,rep,Democrat,1944-10-26
C000537,James,Clyburn,M,SC,rep,Democrat,1940-07-21
C001068,Steve,Cohen,M,TN,rep,Democrat,1949-05-24
C001053,Tom,Cole,M,OK,rep,Republican,1949-04-28
C001062,K.,Conaway,M,TX,rep,Republican,1948-06-11
C001078,Gerald,Connolly,M,VA,rep,Democrat,1950-03-30
C000754,Jim,Cooper,M,TN,rep,Democrat,1954-06-19
C001059,Jim,Costa,M,CA,rep,Democrat,1952-04-13
C001069,Joe,Courtney,M,CT,rep,Democrat,1953-04-06
C000880,Michael,Crapo,M,ID,sen,Republican,1951-05-20
C001087,Eric,Crawford,M,AR,rep,Republican,1966-01-22
C001063,Henry,Cuellar,M,TX,rep,Democrat,1955-09-19
D000096,Danny,Davis,M,IL,rep,Democrat,1941-09-06
D000598,Susan,Davis,F,CA,rep,Democrat,1944-04-13
D000191,Peter,DeFazio,M,OR,rep,Democrat,1947-05-27
D000197,Diana,DeGette,F,CO,rep,Democrat,1957-07-29
D000216,Rosa,DeLauro,F,CT,rep,Democrat,1943-03-02
D000616,Scott,DesJarlais,M,TN,rep,Republican,1964-02-21
D000610,Theodore,Deutch,M,FL,rep,Democrat,1966-05-07
D000600,Mario,Diaz-Balart,M,FL,rep,Republican,1961-09-25
D000399,Lloyd,Doggett,M,TX,rep,Democrat,1946-10-06
D000482,Michael,Doyle,M,PA,rep,Democrat,1953-08-05
D000615,Jeff,Duncan,M,SC,rep,Republican,1966-01-07
E000179,Eliot,Engel,M,NY,rep,Democrat,1947-02-18
E000215,Anna,Eshoo,F,CA,rep,Democrat,1942-12-13
F000459,Charles,Fleischmann,M,TN,rep,Republican,1962-10-11
F000461,Bill,Flores,M,TX,rep,Republican,1954-02-25
F000449,Jeff,Fortenberry,M,NE,rep,Republican,1960-12-27
F000450,Virginia,Foxx,F,NC,rep,Republican,1943-06-29
F000455,Marcia,Fudge,F,OH,rep,Democrat,1952-10-29
G000559,John,Garamendi,M,CA,rep,Democrat,1945-01-24
G000562,Cory,Gardner,M,CO,sen,Republican,1974-08-22
G000563,Bob,Gibbs,M,OH,rep,Republican,1954-06-14
G000552,Louie,Gohmert,M,TX,rep,Republican,1953-08-18
G000565,Paul,Gosar,M,AZ,rep,Republican,1958-11-22
G000377,Kay,Granger,F,TX,rep,Republican,1943-01-18
G000386,Charles,Grassley,M,IA,sen,Republican,1933-09-17
G000546,Sam,Graves,M,MO,rep,Republican,1963-11-07
G000553,Al,Green,M,TX,rep,Democrat,1947-09-01
