"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
19,"NRGIZE LIFESTYLE CAFE","1200 VAN NESS AVE, 3RD FLOOR","San Francisco","CA","94109","37.786848","-122.421547","+14157763262"
24,"OMNI S.F. HOTEL - 2ND FLOOR PANTRY","500 CALIFORNIA ST, 2ND  FLOOR","San Francisco","CA","94104","37.792888","-122.403135","+14156779494"
31,"NORMAN'S ICE CREAM AND FREEZES","2801 LEAVENWORTH ST ","San Francisco","CA","94133","37.807155","-122.419004",""
45,"CHARLIE'S DELI CAFE","3202 FOLSOM ST ","San Francisco","CA","94110","37.747114","-122.413641","+14156415051"
48,"ART'S CAFE","747 IRVING ST ","San Francisco","CA","94122","37.764013","-122.465749","+14156657440"
54,"RHODA GOLDMAN PLAZA","2180 POST ST ","San Francisco","CA","94115","37.784626","-122.437734","+14153455060"
56,"CAFE X + O","1799 CHURCH ST ","San Francisco","CA","94131","37.742325","-122.426476","+14158263535"
58,"OASIS GRILL","91 DRUMM ST ","San Francisco","CA","94111","37.794483","-122.396584","+14158341942"
61,"CHOWDERS","PIER 39  SPACE A3","San Francisco","CA","94133","37.80824","-122.410189","+14153914737"
66,"STARBUCKS COFFEE","1800 IRVING ST ","San Francisco","CA","94122","37.763578","-122.477461","+14152427970"
67,"REVOLUTION CAFE","3248 22ND ST ","San Francisco","CA","94110","37.755419","-122.419542","+14156420474"
73,"DINO'S UNCLE VITO","2101 FILLMORE ST ","San Francisco","CA","94115","37.788932","-122.433895","+14159224700"
76,"OMNI S.F. HOTEL - 3RD FLOOR PANTRY","500 CALIFORNIA ST, 3RD FLOOR","San Francisco","CA","94104","37.792888","-122.403135","+14156779494"
77,"OMNI S.F. HOTEL - EMPLOYEE CAFETERIA","500 CALIFORNIA ST, BASEMENT","San Francisco","CA","94104","37.792888","-122.403135","+14156779494"
80,"LAW SCHOOL CAFE","2199 FULTON ST ","San Francisco","CA","94117","37.774941","-122.452797","+14154222268"
81,"CLUB ED/BON APPETIT","2350 TURK ST ","San Francisco","CA","94117","37.778468","-122.448484","+14154225849"
88,"J.B.'S PLACE","1435 17TH ST ","San Francisco","CA","94107","37.765003","-122.398084","+14155848446"
95,"VEGA","419 CORTLAND AVE ","San Francisco","CA","94110","37.739207","-122.417447","+14152856000"
98,"XOX TRUFFLES","754 COLUMBUS AVE ","San Francisco","CA","94133","37.801665","-122.412104","+14154214814"
99,"J & M A-1 CAFE RESTAURANT LLC","779 CLAY ST ","San Francisco","CA","94108","37.794293","-122.405967","+14156057219"
