"business_id","score","date","type"
19,"94","20160513","routine"
19,"94","20171211","routine"
24,"98","20171101","routine"
24,"98","20161005","routine"
24,"96","20160311","routine"
31,"98","20151204","routine"
45,"78","20160104","routine"
45,"88","20170307","routine"
45,"85","20170914","routine"
45,"84","20160614","routine"
48,"94","20160630","routine"
54,"100","20150526","routine"
54,"87","20170215","routine"
56,"90","20160802","routine"
56,"92","20170420","routine"
56,"88","20151222","routine"
58,"73","20160407","routine"
58,"70","20170918","routine"
61,"94","20160708","routine"
61,"94","20171128","routine"
61,"98","20170124","routine"
61,"92","20150827","routine"
66,"98","20160322","routine"
66,"100","20150828","routine"
66,"100","20160902","routine"
66,"96","20170703","routine"
67,"90","20150520","routine"
67,"87","20160401","routine"
67,"81","20170804","routine"
67,"94","20161019","routine"
73,"88","20171129","routine"
73,"92","20160927","routine"
73,"85","20150717","routine"
76,"100","20171101","routine"
76,"100","20160311","routine"
76,"98","20161005","routine"
77,"94","20171101","routine"
77,"96","20161005","routine"
77,"91","20160311","routine"
80,"98","20160412","routine"
80,"96","20171204","routine"
81,"96","20150330","routine"
81,"98","20171205","routine"
88,"92","20170111","routine"
88,"82","20171016","routine"
88,"89","20150824","routine"
95,"83","20171016","routine"
95,"88","20151210","routine"
95,"92","20170307","routine"
95,"86","20160718","routine"
98,"94","20150629","routine"
98,"96","20160316","routine"
98,"94","20171003","routine"
99,"76","20150811","routine"
99,"82","20171207","routine"
101,"98","20160525","routine"
101,"90","20170627","routine"
102,"92","20170728","routine"
102,"85","20161103","routine"
102,"100","20150609","routine"
108,"94","20150417","routine"
116,"96","20170509","routine"
116,"76","20160527","routine"
121,"86","20151020","routine"
121,"90","20170418","routine"
125,"90","20170719","routine"
125,"92","20160520","routine"
134,"98","20150806","routine"
134,"93","20170214","routine"
140,"86","20180105","routine"
140,"77","20171011","routine"
140,"85","20160414","routine"
141,"100","20170505","routine"
141,"100","20160627","routine"
146,"91","20150723","routine"
146,"84","20161017","routine"
146,"84","20160407","routine"
151,"87","20150520","routine"
151,"92","20160726","routine"
155,"100","20151229","routine"
155,"79","20170227","routine"
155,"87","20150610","routine"
164,"96","20151106","routine"
164,"87","20161110","routine"
164,"83","20170908","routine"
180,"94","20161220","routine"
180,"87","20170815","routine"
180,"88","20160106","routine"
180,"98","20160617","routine"
184,"98","20161003","routine"
187,"89","20160511","routine"
187,"92","20170210","routine"
187,"96","20171128","routine"
190,"92","20150327","routine"
190,"100","20161206","routine"
190,"100","20171129","routine"
192,"90","20160628","routine"
192,"86","20170626","routine"
194,"80","20150420","routine"
194,"84","20170919","routine"
198,"92","20151029","routine"
198,"94","20150206","routine"
198,"94","20170130","routine"
198,"94","20171129","routine"
200,"87","20150129","routine"
200,"94","20151001","routine"
200,"88","20170104","routine"
208,"94","20150212","routine"
208,"92","20151007","routine"
208,"90","20170731","routine"
216,"94","20170629","routine"
216,"100","20150126","routine"
217,"90","20160912","routine"
217,"94","20150818","routine"
217,"94","20160329","routine"
217,"93","20170925","routine"
217,"92","20170330","routine"
226,"82","20160523","routine"
231,"88","20160301","routine"
231,"90","20170601","routine"
236,"96","20161017","routine"
236,"94","20151214","routine"
239,"84","20160525","routine"
239,"88","20171207","routine"
240,"82","20161004","routine"
240,"68","20150813","routine"
247,"86","20161114","routine"
247,"83","20160503","routine"
251,"96","20160616","routine"
253,"92","20171114","routine"
253,"96","20161208","routine"
253,"94","20160622","routine"
253,"98","20150217","routine"
256,"100","20150908","routine"
256,"90","20171205","routine"
256,"96","20161019","routine"
268,"94","20150903","routine"
268,"91","20160725","routine"
268,"100","20171228","routine"
272,"78","20160517","routine"
273,"75","20171002","routine"
273,"80","20150519","routine"
273,"78","20160920","routine"
275,"96","20161031","routine"
275,"98","20180116","routine"
275,"96","20151020","routine"
276,"100","20151103","routine"
276,"100","20170512","routine"
276,"100","20171103","routine"
279,"98","20160518","routine"
279,"92","20171010","routine"
279,"90","20170104","routine"
279,"94","20151020","routine"
281,"96","20160606","routine"
283,"81","20170209","routine"
283,"73","20151001","routine"
286,"82","20161102","routine"
286,"72","20160607","routine"
286,"83","20171107","routine"
290,"89","20160615","routine"
298,"80","20150828","routine"
298,"92","20171017","routine"
298,"87","20160408","routine"
298,"88","20161013","routine"
299,"96","20150309","routine"
299,"94","20171116","routine"
299,"96","20160705","routine"
300,"86","20171208","routine"
300,"68","20160413","routine"
302,"69","20150408","routine"
302,"89","20160902","routine"
302,"81","20170728","routine"
305,"87","20160518","routine"
305,"88","20180104","routine"
315,"87","20170905","routine"
315,"89","20150518","routine"
315,"92","20161110","routine"
315,"94","20150929","routine"
318,"96","20170602","routine"
318,"94","20151113","routine"
318,"98","20171116","routine"
320,"84","20150429","routine"
320,"77","20171004","routine"
320,"68","20160920","routine"
323,"100","20160112","routine"
323,"94","20161108","routine"
326,"82","20160818","routine"
326,"81","20180123","routine"
328,"90","20160105","routine"
328,"81","20161122","routine"
337,"90","20160520","routine"
379,"77","20170308","routine"
379,"74","20160610","routine"
384,"96","20180103","routine"
384,"76","20170501","routine"
386,"90","20160127","routine"
386,"84","20171116","routine"
386,"82","20160429","routine"
389,"96","20170316","routine"
393,"84","20160722","routine"
393,"76","20170705","routine"
393,"90","20150707","routine"
397,"94","20160909","routine"
397,"94","20171107","routine"
400,"100","20160608","routine"
403,"81","20160701","routine"
403,"81","20150723","routine"
403,"88","20170925","routine"
409,"98","20150414","routine"
409,"83","20170627","routine"
413,"78","20160830","routine"
415,"87","20150903","routine"
415,"92","20170110","routine"
420,"78","20160504","routine"
420,"74","20171025","routine"
421,"89","20160520","routine"
422,"94","20160927","routine"
422,"92","20150918","routine"
423,"78","20171117","routine"
423,"85","20160901","routine"
424,"81","20150505","routine"
424,"90","20170112","routine"
424,"86","20171107","routine"
428,"98","20171026","routine"
428,"96","20160707","routine"
428,"100","20150427","routine"
429,"87","20160602","routine"
429,"82","20150223","routine"
431,"92","20160525","routine"
435,"92","20161212","routine"
435,"92","20151028","routine"
436,"87","20161028","routine"
436,"79","20160608","routine"
