"business_id","date","description"
19,"20171211","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20171211","Unapproved or unmaintained equipment or utensils"
19,"20160513","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 12/11/2017 ]"
19,"20160513","Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/11/2017 ]"
19,"20160513","Food safety certificate or food handler card not available  [ date violation corrected: 12/11/2017 ]"
24,"20171101","Improper food storage"
24,"20161005","Unclean or degraded floors walls or ceilings  [ date violation corrected: 11/1/2017 ]"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 10/5/2016 ]"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/11/2016 ]"
31,"20151204","Food safety certificate or food handler card not available"
45,"20170914","Unclean nonfood contact surfaces"
45,"20170914","Moderate risk food holding temperature "
45,"20170914","Unclean or degraded floors walls or ceilings"
45,"20170914","High risk vermin infestation"
45,"20170307","Moderate risk vermin infestation  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Unclean nonfood contact surfaces  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Food safety certificate or food handler card not available  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Unclean or degraded floors walls or ceilings  [ date violation corrected: 8/29/2017 ]"
45,"20170307","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 8/29/2017 ]"
45,"20160614","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Moderate risk vermin infestation  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Foods not protected from contamination  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 2/28/2017 ]"
45,"20160614","Unclean or degraded floors walls or ceilings  [ date violation corrected: 2/28/2017 ]"
45,"20160104","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unclean nonfood contact surfaces  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Employee eating or smoking  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unclean or degraded floors walls or ceilings  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 5/30/2016 ]"
45,"20160104","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 5/30/2016 ]"
54,"20170215","Moderate risk food holding temperature "
