BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
3,<2,stallion,78,90,90,77,NA
2.5,<2,stallion,91,97,94,100,NA
1.5,<2,stallion,74,93,95,74,NA
3,<2,female,87,109,96,116,NA
2.5,<2,female,79,98,91,91,NA
1.5,<2,female,86,102,98,105,NA
2.5,<2,stallion,83,106,96,108,NA
2,<2,stallion,77,95,89,86,NA
3,<2,stallion,46,66,71,27,NA
3,<2,stallion,92,110,99,141,NA
3,<2,female,86,105,92,100,NA
3,<2,female,81,106,92,95,NA
2,<2,female,84,106,96,115,NA
2,<2,stallion,85,101,96,106,NA
2.5,<2,female,87,110,97,112,NA
2.5,<2,stallion,92,100,98,117,NA
2.5,<2,stallion,79,100,90,94,NA
2.5,<2,female,81,109,96,107,NA
2.5,<2,female,83,104,94,102,103
2.5,<2,female,87,112,98,127,NA
2.5,<2,female,82,95,93,90,NA
3,<2,female,78,105,96,108,NA
3,<2,stallion,68,92,86,72,NA
2.5,<2,female,85,100,96,102,NA
2.5,<2,female,79,95,92,86,NA
2.5,<2,female,88,108,106,118,NA
3,<2,stallion,69,90,91,65,NA
2.5,<2,stallion,84,95,96,90,NA
3,<2,female,88,104,97,118,NA
2.5,<2,female,88,108,98,113,NA
3,<2,stallion,85,106,98,117,NA
3,<2,stallion,95,115,99,124,NA
2.5,<2,stallion,72,97,94,89,NA
3,<2,stallion,98,110,101,130,NA
3,<2,female,95,115,106,150,NA
2.5,<2,stallion,80,98,97,87,NA
2.5,<2,female,87,100,98,96,NA
2.5,<2,female,87,108,100,117,NA
3,<2,female,85,96,93,94,NA
2.5,<2,female,85,108,93,105,NA
3,<2,female,80,101,92,94,NA
2.5,<2,female,89,103,100,107,NA
2.5,<2,female,83,108,97,117,NA
2.5,<2,stallion,87,104,96,106,NA
3,<2,female,80,94,89,75,NA
3,<2,female,83,104,96,105,NA
2.5,<2,female,86,108,98,114,NA
3,<2,female,85,105,91,115,NA
2.5,<2,stallion,85,106,99,107,NA
2.5,<2,female,82,102,96,98,98
2,<2,stallion,74,90,89,71,NA
3,<2,stallion,93,112,101,142,NA
3,<2,stallion,96,111,104,146,NA
2,2-5,stallion,79,108,97,106,NA
3,10-15,female,91,121,100,162,NA
3,10-15,female,94,120,101,164,NA
3,10-15,stallion,91,114,99,133,NA
3,10-15,female,90,116,97,152,NA
2.5,5-10,stallion,86,112,98,129,NA
2.5,2-5,female,87,101,93,110,NA
3,10-15,female,98,127,101,181,NA
3.5,2-5,female,101,118,104,160,NA
3,10-15,female,97,123,101,172,NA
3,10-15,female,100,117,97,164,NA
3,10-15,female,111,127,106,192,NA
3,15-20,female,97,117,99,163,NA
3,10-15,female,91,120,102,169,NA
2.5,5-10,female,95,114,100,144,NA
3,10-15,female,98,119,97,165,NA
3,10-15,female,100,114,100,160,NA
3,10-15,stallion,92,113,98,145,NA
2.5,2-5,stallion,82,100,95,110,NA
3,10-15,gelding,96,117,98,154,NA
2.5,2-5,female,90,112,104,133,NA
3,10-15,stallion,92,117,102,152,NA
3,2-5,stallion,86,114,105,145,NA
2.5,2-5,stallion,84,114,98,130,NA
3,5-10,female,103,122,108,183,NA
3,15-20,female,94,122,107,173,NA
3,10-15,female,96,124,106,161,NA
3,10-15,gelding,90,119,101,172,NA
3,5-10,gelding,93,117,101,151,NA
3,15-20,gelding,102,123,102,170,NA
3,15-20,female,97,116,99,159,NA
3,2-5,stallion,92,112,98,142,NA
2.5,>20,gelding,90,114,104,136,NA
3,10-15,female,105,130,107,185,NA
3,5-10,female,91,111,99,143,NA
2.5,2-5,stallion,86,104,94,107,NA
3,5-10,female,91,123,97,173,NA
3,10-15,stallion,94,120,107,161,NA
3,10-15,female,104,122,103,176,NA
