Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,Unemployment,MarkDown
2010-02-05,24924.5,No,42.31,2.572,8.106,No Markdown
2010-02-12,46039.49,Yes,38.51,2.548,8.106,No Markdown
2010-02-19,41595.55,No,39.93,2.5140000000000002,8.106,No Markdown
2010-02-26,19403.54,No,46.63,2.5610000000000004,8.106,No Markdown
2010-03-05,21827.9,No,46.5,2.625,8.106,No Markdown
2010-03-12,21043.39,No,57.79,2.667,8.106,No Markdown
2010-03-19,22136.64,No,54.58,2.72,8.106,No Markdown
2010-03-26,26229.21,No,51.45,2.7319999999999998,8.106,No Markdown
2010-04-02,57258.43,No,62.27,2.719,7.808,No Markdown
2010-04-09,42960.91,No,65.86,2.77,7.808,No Markdown
2010-04-16,17596.96,No,66.32,2.8080000000000003,7.808,No Markdown
2010-04-23,16145.35,No,64.84,2.795,7.808,No Markdown
2010-04-30,16555.11,No,67.41,2.78,7.808,No Markdown
2010-05-07,17413.94,No,72.55,2.835,7.808,No Markdown
2010-05-14,18926.74,No,74.78,2.8539999999999996,7.808,No Markdown
2010-05-21,14773.04,No,76.44,2.826,7.808,No Markdown
2010-05-28,15580.43,No,80.44,2.759,7.808,No Markdown
2010-06-04,17558.09,No,80.69,2.705,7.808,No Markdown
2010-06-11,16637.62,No,80.43,2.668,7.808,No Markdown
2010-06-18,16216.27,No,84.11,2.637,7.808,No Markdown
2010-06-25,16328.72,No,84.34,2.653,7.808,No Markdown
2010-07-02,16333.14,No,80.91,2.6689999999999996,7.787000000000001,No Markdown
2010-07-09,17688.76,No,80.48,2.642,7.787000000000001,No Markdown
2010-07-16,17150.84,No,83.15,2.623,7.787000000000001,No Markdown
2010-07-23,15360.45,No,83.36,2.608,7.787000000000001,No Markdown
2010-07-30,15381.82,No,81.84,2.64,7.787000000000001,No Markdown
2010-08-06,17508.41,No,87.16,2.627,7.787000000000001,No Markdown
2010-08-13,15536.4,No,87.0,2.6919999999999997,7.787000000000001,No Markdown
2010-08-20,15740.13,No,86.65,2.6639999999999997,7.787000000000001,No Markdown
2010-08-27,15793.87,No,85.22,2.6189999999999998,7.787000000000001,No Markdown
2010-09-03,16241.78,No,81.21,2.577,7.787000000000001,No Markdown
2010-09-10,18194.74,Yes,78.69,2.565,7.787000000000001,No Markdown
2010-09-17,19354.23,No,82.11,2.582,7.787000000000001,No Markdown
2010-09-24,18122.52,No,80.94,2.6239999999999997,7.787000000000001,No Markdown
2010-10-01,20094.19,No,71.89,2.603,7.837999999999999,No Markdown
2010-10-08,23388.03,No,63.93,2.633,7.837999999999999,No Markdown
2010-10-15,26978.34,No,67.18,2.72,7.837999999999999,No Markdown
2010-10-22,25543.04,No,69.86,2.725,7.837999999999999,No Markdown
2010-10-29,38640.93,No,69.64,2.716,7.837999999999999,No Markdown
2010-11-05,34238.88,No,58.74,2.6889999999999996,7.837999999999999,No Markdown
2010-11-12,19549.39,No,59.61,2.728,7.837999999999999,No Markdown
2010-11-19,19552.84,No,51.41,2.7710000000000004,7.837999999999999,No Markdown
2010-11-26,18820.29,Yes,64.52,2.735,7.837999999999999,No Markdown
2010-12-03,22517.56,No,49.27,2.708,7.837999999999999,No Markdown
2010-12-10,31497.65,No,46.33,2.843,7.837999999999999,No Markdown
2010-12-17,44912.86,No,49.84,2.8689999999999998,7.837999999999999,No Markdown
2010-12-24,55931.23,No,52.33,2.886,7.837999999999999,No Markdown
2010-12-31,19124.58,Yes,48.43,2.943,7.837999999999999,No Markdown
2011-01-07,15984.24,No,48.27,2.9760000000000004,7.742000000000001,No Markdown
2011-01-14,17359.7,No,35.4,2.983,7.742000000000001,No Markdown
2011-01-21,17341.47,No,44.04,3.016,7.742000000000001,No Markdown
2011-01-28,18461.18,No,43.83,3.01,7.742000000000001,No Markdown
2011-02-04,21665.76,No,42.27,2.989,7.742000000000001,No Markdown
2011-02-11,37887.17,Yes,36.39,3.022,7.742000000000001,No Markdown
2011-02-18,46845.87,No,57.36,3.045,7.742000000000001,No Markdown
2011-02-25,19363.83,No,62.9,3.065,7.742000000000001,No Markdown
2011-03-04,20327.61,No,59.58,3.2880000000000003,7.742000000000001,No Markdown
2011-03-11,21280.4,No,53.56,3.4589999999999996,7.742000000000001,No Markdown
2011-03-18,20334.23,No,62.76,3.488,7.742000000000001,No Markdown
2011-03-25,20881.1,No,69.97,3.4730000000000003,7.742000000000001,No Markdown
2011-04-01,20398.09,No,59.17,3.5239999999999996,7.682,No Markdown
2011-04-08,23873.79,No,67.84,3.622,7.682,No Markdown
2011-04-15,28762.37,No,71.27,3.7430000000000003,7.682,No Markdown
2011-04-22,50510.31,No,72.99,3.807,7.682,No Markdown
2011-04-29,41512.39,No,72.03,3.81,7.682,No Markdown
2011-05-06,20138.19,No,64.61,3.906,7.682,No Markdown
2011-05-13,17235.15,No,75.64,3.8989999999999996,7.682,No Markdown
2011-05-20,15136.78,No,67.63,3.907,7.682,No Markdown
2011-05-27,15741.6,No,77.72,3.786,7.682,No Markdown
2011-06-03,16434.15,No,83.0,3.699,7.682,No Markdown
2011-06-10,15883.52,No,83.13,3.648,7.682,No Markdown
2011-06-17,14978.09,No,86.41,3.637,7.682,No Markdown
