group,professional,respect,caring,enthusiastic,communicate,helpful,feedback,prompt,consistent,fair,responsive,praised,knowledgeable,clear,overall,gender,age,tagender,taidgender
3,5,5,4,4,4,3,4,4,4,4,4,4,3,5,4,2,1990,0,1
3,4,4,4,4,5,5,5,5,3,4,5,5,5,5,4,1,1992,0,1
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1991,0,1
3,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,2,1991,0,1
3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,2,1992,0,1
3,4,4,4,4,4,4,3,4,3,3,5,5,3,3,4,1,1991,0,1
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1984,0,1
3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,1990,0,1
3,4,4,3,4,4,4,5,4,4,4,3,5,4,4,4,2,1989,0,1
3,4,4,3,3,3,3,3,4,2,4,3,3,3,3,3,1,2012,0,1
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1990,0,1
3,5,5,4,4,3,3,4,4,3,4,3,4,4,4,4,1,1985,0,1
4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,1986,1,1
4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1993,1,1
4,5,5,4,4,4,3,4,4,3,4,3,5,5,2,4,2,1986,1,1
4,5,5,5,4,4,5,4,4,4,5,3,4,4,2,4,2,1992,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1991,1,1
4,5,4,3,4,5,2,2,5,5,4,3,5,5,2,3,1,1991,1,1
4,5,5,5,4,4,5,4,4,4,4,4,5,5,4,4,1,1992,1,1
4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1990,1,1
4,4,4,2,3,3,3,3,4,2,3,3,3,3,2,3,1,1991,1,1
4,5,5,4,4,4,3,4,5,4,4,3,5,4,4,4,2,1990,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1990,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1990,0,0
5,1,1,1,1,1,1,1,1,1,4,3,4,4,1,1,2,1990,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1989,0,0
5,5,5,4,4,4,3,4,3,3,3,4,4,5,4,4,1,1992,0,0
5,5,5,3,4,3,2,4,5,4,3,4,4,4,4,4,2,1991,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1990,0,0
5,4,4,5,5,4,3,4,5,5,3,3,4,4,3,4,1,1993,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1990,0,0
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
6,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,1990,1,0
6,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,1,1988,1,0
6,5,5,3,4,5,4,5,4,5,5,3,4,5,5,5,2,1992,1,0
6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1991,1,0
6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,1990,1,0
6,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1990,1,0
6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1986,1,0
6,5,5,4,4,4,4,4,3,3,3,4,4,4,4,4,2,1991,1,0
6,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1989,1,0
6,4,5,4,3,4,3,4,4,3,3,4,4,5,4,4,1,1990,1,0
6,5,5,4,3,4,4,2,2,2,2,4,4,4,1,4,2,1991,1,0
6,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,2,1982,1,0
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0
