,email,spam
0,"
 Hi Folks,
 
 I've been trying to set a button called which automatically
 forwards mail using a '-form mycomps' without going through
 the editor, but so far haven't got the right recipe.
 
 I currently have in my .exmh-defaults:
 
 *Mops.spam.text:        Spam
 *Mops.spam.command:     Msg_Forward -form spamcomps -noedit -nowhatnowproc ; Msg
 _Remove
 
 
 I've also tried with ""SeditSend {$draft $t 0}"" after the forward command.
 It should forward to a spam address (where filters get adjusted) and then
 delete.  It does so, but not without producing the edit window.
 
 Any help appreciated.
 
 Wendy Roberts
 
 
 
 ===========================================
 Wendy Roberts          
 HEAD System Administrator                             
 High Energy Astrophsics Division
 Harvard-Smithsonian Center for Astrophysics
 Cambridge, MA USA 02138
 wendy@cfa.harvard.edu  
 Phone:  617-495-7153  
 ===========================================
 
 
 
 _______________________________________________
 Exmh-users mailing list
 Exmh-users@redhat.com
 https://listman.redhat.com/mailman/listinfo/exmh-users
 
 
",0
1,"Hah.  I guess she doesn't want everyone to know about all the kinky sex 
 she and I have had.  LOL
 C
 
 On Sat, 7 Sep 2002, Geege Schuman wrote:
 
 > cdale is a double chocolate chip macadamia to my vanilla wafer.  wait, maybe
 > i'm a ginger snap.
 > 
 > <cough>
 > gg
 > 
 > -----Original Message-----
 > From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of
 > Russell Turpin
 > Sent: Saturday, September 07, 2002 11:06 AM
 > To: fork@spamassassin.taint.org
 > Subject: Re: Selling Wedded Bliss (was Re: Ouch...)
 > 
 > 
 > Robert Harley:
 > >It is perfectly obvious that (heterosexual) promiscuity is exactly,
 > >precisely identical between males and females.
 > 
 > Yeah, assuming approximately equal populations.
 > But that obscures the different modes of
 > promiscuity. Both the person who gives sex for
 > money or power or companionship and the person
 > who uses money and power and companionship to
 > get sex are promiscuous, in the broadest sense
 > of the word. But their motives and behavior are
 > quite different.
 > 
 > Langur monkeys were the example in the cited
 > article. ""Dominant males .. kill babies that
 > are not their own."" ""The dominant male monkey
 > .. seeks to defend his harem of females."" But
 > cozying up to the current dominant male isn't
 > the best strategy for female langurs, because
 > ""dominant males are dethroned by rivals every
 > 27 months or so."" ""By mating with as many
 > extra-group males as possible, female langurs
 > ensure their offspring against infanticide,""
 > by the male who is likely next to rule the
 > roost.
 > 
 > Maybe it's just me, but that doesn't paint a
 > picture of carefree females engaged in joyously
 > promiscuous couplings. The dom cab driver who
 > is taking her two boy toys to New Orleans is a
 > better picture of that. ;-)
 > 
 > 
 > 
 > 
 > 
 > _________________________________________________________________
 > Chat with friends online, try MSN Messenger: http://messenger.msn.com
 > 
 > 
 > 
 > 
 > 
 
 -- 
 ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn
 
 
",0
2,"This article from NYTimes.com 
 has been sent to you by khare@alumni.caltech.edu.
 
 
 Texas Pacific, in addition to its multibillion dollar portfolio detailed below, actually does invest in promising new companies, not just turnarounds. It's just that KnowNow is waaay to small of a part of their $7.2B portfolio... so far!
 
 Rohit
 
 khare@alumni.caltech.edu
 
 
 Texas Pacific Goes Where Others Fear to Spend
 
 August 25, 2002
 By RIVA D. ATLAS and EDWARD WONG 
 
 
 
 
  
 
 It was one of the first calls David N. Siegel placed when
 he became chief executive of the beleaguered US Airways
 last March. Seeking advice on how to hammer out a leaner
 and meaner business plan, keep his planes flying and
 renegotiate costly contracts with the unions, he flipped
 through his files and found the number for the Texas
 Pacific Group, an investment firm headed by David
 Bonderman, a former civil rights lawyer with a reputation
 for fixing problem companies. 
 
 Mr. Siegel, once a top executive at Continental Airlines,
 had watched Texas Pacific's partners turn an investment of
 $66 million in the airline, made three years after it filed
 for bankruptcy in 1990, into a profit of more than $600
 million. And they had made nearly as much on their stake in
 America West, which filed for bankruptcy in 1992. 
 
 That search for advice turned into an offer. Why not let
 Texas Pacific have a role in US Airways' revival? asked
 Richard Schifter, the Texas Pacific executive whom Mr.
 Siegel reached. 
 
 In June, Mr. Siegel called Mr. Schifter again. And days
 before US Airways announced its plans to file for
 bankruptcy two weeks ago - but after it had negotiated
 about $550 million in concessions with its unions - Texas
 Pacific, based in Fort Worth and San Francisco, agreed to
 kick in $100 million as part of a $500 million loan to keep
 the company operating during bankruptcy. It also agreed to
 buy $200 million of stock, or 38 percent of the company,
 and take 5 of 13 seats on the board if US Airways emerges
 from bankruptcy - unless another investor surfaces with a
 better offer. 
 
 ""One of the reasons we were interested is few other folks
 were,"" said James Coulter, a partner at Texas Pacific, in
 an interview after the bankruptcy filing. ""There aren't
 many people around with the stomach or the knowledge to
 delve into the airline industry."" 
 
 Texas Pacific, which manages $8 billion, thrives by buying
 businesses no one else wants. Mr. Coulter and Mr. Bonderman
 made their names during the recession of the early 1990's
 with investments in Continental and America West. The
 firm's hallmark is to take an active hand in shaping
 companies, sometimes ousting poor managers and tapping its
 extensive network of contacts for talented replacements. 
 
 Now the partners are again looking for trouble. In the last
 year alone, Texas Pacific has announced or completed six
 acquisitions, most in unloved industries like
 semiconductors, reinsurance and airlines. Just last month,
 it announced plans to buy Burger King, which has been
 losing market share, for $2.26 billion. It is also bidding
 for Bankgesellschaft Berlin, a large and troubled bank. 
 
 The most creative, and potentially lucrative, of these
 deals could be Texas Pacific's acquisition last November of
 MEMC Electronic Materials, a semiconductor company, for $6
 - yes, just $6 - in cash. It will also guarantee a $150
 million bank loan. 
 
 In the last few years, most firms that specialize in
 leveraged buyouts - the use of junk bonds, bank loans and
 other borrowings to buy or take big stakes in companies -
 have been largely inactive. Falling stock prices have made
 managements reluctant to sell cheaply. Companies that are
 for sale have tangled finances or face a cash squeeze. 
 
 Texas Pacific is different. ""This is a terrific environment
 for them,"" said Stephen Schwarzman, chief executive of the
 Blackstone Group, which also specializes in buyouts. 
 
 Mark Attanasio, a managing director at Trust Company of the
 West, which has invested with Texas Pacific, said: ""Most
 other buyout firms want to buy companies that are growing.
 You don't see many guys wanting to take on operational
 fixes."" 
 
 Like most other buyout firms, Texas Pacific tries to keep
 its inner workings private: its partners rarely grant
 interviews and its Web site is perpetually under
 construction. Mr. Bonderman, Mr. Coulter and William Price,
 the third founding partner, declined to be interviewed for
 this article. 
 
 Mr. Bonderman, 59, is known for his rumpled shirts and
 bright, patterned socks. ""He likes argyle socks, and they
 tend to fall down around his ankles,"" said Henry Miller, an
 investment banker who advises troubled companies. Early in
 his career, when he was a Washington lawyer, Mr. Bonderman
 argued a case in court wearing a brown velvet suit. 
 
 When a Texas Pacific deal is being negotiated, he is known
 for obsessively staying in touch, even when he is trekking
 in places like Pakistan, Nepal and, most recently, Bhutan.
 ""Whenever I see a long, unfamiliar phone number pop up on
 my caller I.D., I know it's David calling,"" said one
 investment banker who often works with Mr. Bonderman. 
 
 Mr. Bonderman made his reputation in the 1980's as the
 chief investment officer for Robert Bass, the Texas oilman.
 Mr. Bonderman enriched Mr. Bass a second time by making
 early bets in industries like cable television and taking
 stakes in troubled companies like American Savings & Loan,
 which had been seized by the government. Over nearly a
 decade, Mr. Bonderman's picks earned an average annual
 return of 63 percent for Mr. Bass. 
 
 In 1993, Mr. Bonderman struck out on his own with Mr.
 Coulter, a former Lehman Brothers banker who had also
 worked for Mr. Bass. They teamed up later that year with
 Mr. Price, a veteran of GE Capital Capital and Bain &
 Company, a consulting firm, to form Texas Pacific. 
 
 The three men have complementary skills, investment bankers
 and other deal makers said. Mr. Bonderman is the master
 strategist and Mr. Coulter is good at structuring deals and
 the detailed management of the firm's purchases. Mr. Price
 often recruits managers and advises on operational issues. 
 
 ""David is very much the optimist, very much the deal
 maker,"" said Greg Brenneman, a former president of
 Continental. ""Jim is very much a counterbalance to David.
 He will sit back and ask the tough questions. He will
 approach investments a little bit more skeptically than
 David does."" 
 
 By the end of the 1990's, Texas Pacific was well
 established in deal making. It easily raised $4.5 billion
