CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
17091420,BURGLARY AUTO,BURGLARY - VEHICLE,2500 LE CONTE AVE,2017-07-23 06:00:00,37.876965,-122.260544,Sunday
17038302,BURGLARY AUTO,BURGLARY - VEHICLE,BOWDITCH STREET & CHANNING WAY,2017-07-02 22:00:00,37.867209,-122.256554,Sunday
17049346,THEFT MISD. (UNDER $950),LARCENY,2900 CHANNING WAY,2017-08-20 23:20:00,37.867948,-122.250664,Sunday
17091319,THEFT MISD. (UNDER $950),LARCENY,2100 RUSSELL ST,2017-07-09 04:15:00,37.856719,-122.266672,Sunday
17044238,DISTURBANCE,DISORDERLY CONDUCT,TELEGRAPH AVENUE & DURANT AVE,2017-07-30 01:16:00,37.867816,-122.258994,Sunday
17046188,THEFT MISD. (UNDER $950),LARCENY,2500 TELEGRAPH AVE,2017-08-06 23:30:00,37.865009,-122.258767,Sunday
17016785,2ND RESPONSE,NOISE VIOLATION,3000 ACTON ST,2017-03-26 00:51:00,37.853085,-122.281368,Sunday
17041244,GUN/WEAPON,WEAPONS OFFENSE,SEAWALL DRIVE & UNIVERSITY AVE,2017-07-16 00:07:00,37.863045,-122.317348,Sunday
17025823,DISTURBANCE,DISORDERLY CONDUCT,2800 SACRAMENTO ST,2017-05-07 17:56:00,37.856792,-122.279845,Sunday
17041623,THEFT MISD. (UNDER $950),LARCENY,2200 DWIGHT WAY,2017-07-16 13:00:00,37.864238,-122.265263,Sunday
17049351,DISTURBANCE,DISORDERLY CONDUCT,1800 EUCLID AVE,2017-08-20 20:00:00,37.876045,-122.260336,Sunday
17027280,ASSAULT/BATTERY MISD.,ASSAULT,2100 CALIFORNIA ST,2017-05-14 09:36:00,37.869524,-122.27965,Sunday
17047514,THEFT MISD. (UNDER $950),LARCENY,2500 BANCROFT WAY,2017-08-13 17:25:00,37.868722,-122.259123,Sunday
17091609,THEFT FELONY (OVER $950),LARCENY,1800 SONOMA AVE,2017-08-13 09:00:00,37.885752,-122.27805,Sunday
17050168,IDENTITY THEFT,FRAUD,2000 HASTE ST,2017-07-16 10:00:00,37.86456,-122.269954,Sunday
17042959,ROBBERY,ROBBERY,1300 GLENDALE AVE,2017-07-23 23:30:00,37.885525,-122.254405,Sunday
17013843,NARCOTICS,DRUG VIOLATION,1000 DWIGHT WAY,2017-03-12 12:49:00,37.860732,-122.291369,Sunday
17091281,VANDALISM,VANDALISM,ALLSTON WAY & CALIFORNIA ST,2017-07-02 21:45:00,37.867106,-122.286054,Sunday
17041313,DISTURBANCE,DISORDERLY CONDUCT,1700 UNIVERSITY AVE,2017-07-16 09:04:00,37.870948,-122.27733,Sunday
17031936,THEFT FELONY (OVER $950),LARCENY,1900 FOURTH ST,2017-06-04 14:40:00,37.868281,-122.300102,Sunday
17091341,IDENTITY THEFT,FRAUD,1900 BERRYMAN ST,2017-05-07 13:00:00,37.883285,-122.274145,Sunday
17024233,NARCOTICS,DRUG VIOLATION,ADDISON STREET & FOURTH ST,2017-04-30 22:24:00,37.866253,-122.299483,Sunday
17091272,BURGLARY AUTO,BURGLARY - VEHICLE,2745 BANCROFT WAY,2017-07-02 10:00:00,37.869545,-122.252577,Sunday
17025764,THEFT MISD. (UNDER $950),LARCENY,2700 MILVIA ST,2017-05-07 11:00:00,37.860225,-122.269453,Sunday
17091038,THEFT FELONY (OVER $950),LARCENY,3046 COLLEGE AVE,2017-05-28 04:30:00,37.854358,-122.252784,Sunday
17044250,BURGLARY AUTO,BURGLARY - VEHICLE,GRANT STREET & CHANNING WAY,2017-07-30 02:25:00,37.864872,-122.274587,Sunday
17038384,MISSING JUVENILE,MISSING PERSON,4509 MARKET ST,2017-07-02 22:00:00,,,Sunday
17042873,DISTURBANCE,DISORDERLY CONDUCT,100 UNIVERSITY AVE,2017-07-23 01:50:00,37.86331,-122.316113,Sunday
17044256,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2500 PIEDMONT AVE,2017-07-30 03:50:00,37.865868,-122.251595,Sunday
17022535,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,2017-04-23 01:43:00,37.866981,-122.302083,Sunday
17036774,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 WOOLSEY ST,2017-06-25 21:09:00,37.854137,-122.251007,Sunday
17018444,BURGLARY AUTO,BURGLARY - VEHICLE,DURANT AVENUE & ELLSWORTH ST,2017-04-02 19:30:00,37.867221,-122.263531,Sunday
17091062,THEFT MISD. (UNDER $950),LARCENY,2300 SHATTUCK AVE,2017-06-04 00:05:00,37.867176,-122.267802,Sunday
17090676,VANDALISM,VANDALISM,MILVIA STREET & BANCROFT WAY,2017-04-02 19:00:00,37.867291,-122.270245,Sunday
17041546,BURGLARY AUTO,BURGLARY - VEHICLE,2800 GRANT ST,2017-07-16 22:30:00,37.857647,-122.273145,Sunday
17022549,NARCOTICS,DRUG VIOLATION,1400 UNIVERSITY AVE,2017-04-23 02:41:00,37.870054,-122.284263,Sunday
17022543,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE & SECOND ST,2017-04-23 02:13:00,37.866981,-122.302083,Sunday
17028906,VEHICLE STOLEN,MOTOR VEHICLE THEFT,CURTIS STREET & HEARST AVE,2017-05-21 16:00:00,37.870911,-122.289684,Sunday
17091535,BURGLARY AUTO,BURGLARY - VEHICLE,1900 CENTER ST,2017-08-06 11:00:00,37.869685,-122.272804,Sunday
17047454,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 SIXTH ST,2017-08-13 00:00:00,37.881142,-122.30191,Sunday
17090679,THEFT FELONY (OVER $950),LARCENY,BANCROFT WAY &TELEGRAPH AVE,2017-04-02 18:30:00,,,Sunday
17021185,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,2017-04-16 16:30:00,37.862844,-122.298368,Sunday
17017029,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1200 UNIVERSITY AVE,2017-03-26 00:00:00,37.869385,-122.28953,Sunday
17030403,BURGLARY AUTO,BURGLARY - VEHICLE,FIFTH STREET & HARRISON ST,2017-05-28 12:10:00,37.880922,-122.303115,Sunday
17046021,ASSAULT/BATTERY MISD.,ASSAULT,2000 UNIVERSITY AVE,2017-08-06 22:00:00,37.871828,-122.270516,Sunday
17047570,SEXUAL ASSAULT FEL.,SEX CRIME,200 UNIVERSITY AVE,2017-08-13 12:30:00,37.865491,-122.310065,Sunday
17030447,ROBBERY,ROBBERY,1700 SOLANO AVE,2017-05-28 17:50:00,37.891214,-122.282158,Sunday
17091415,BURGLARY AUTO,BURGLARY - VEHICLE,2700 WEBSTER ST,2017-07-23 06:50:00,37.855798,-122.252707,Sunday
17091481,BURGLARY AUTO,BURGLARY - VEHICLE,2400 HASTE ST,2017-07-30 10:00:00,37.865849,-122.259977,Sunday
17041310,NARCOTICS,DRUG VIOLATION,CEDAR STREET & SAN PABLO AVE,2017-07-16 10:24:00,37.875218,-122.294052,Sunday
17036742,NARCOTICS,DRUG VIOLATION,2100 M L KING JR WAY,2017-06-25 17:26:00,,,Sunday
17091015,BURGLARY AUTO,BURGLARY - VEHICLE,1100 SUTTER ST,2017-05-28 01:25:00,37.888072,-122.272344,Sunday
17033571,DISTURBANCE,DISORDERLY CONDUCT,OXFORD STREET & CENTER ST,2017-06-11 16:40:00,37.870583,-122.265956,Sunday
17038191,THEFT FELONY (OVER $950),LARCENY,HARRISON STREET & FIFTH ST,2017-07-02 13:02:00,37.880922,-122.303115,Sunday
17012393,THEFT MISD. (UNDER $950),LARCENY,2300 SEVENTH ST,2017-03-05 02:21:00,37.863564,-122.295135,Sunday
17024161,MISSING ADULT,MISSING PERSON,1100 HEARST AVE,2017-04-30 11:30:00,37.870417,-122.292485,Sunday
17013915,ROBBERY,ROBBERY,WARRING STREET & DERBY ST,2017-03-12 19:33:00,37.862379,-122.250054,Sunday
17042846,BURGLARY AUTO,BURGLARY - VEHICLE,2000 BERKELEY WAY,2017-07-23 11:36:00,37.872691,-122.270741,Sunday
17043031,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1600 BLAKE ST,2017-07-23 21:00:00,37.861653,-122.278529,Sunday
17016959,DISTURBANCE,DISORDERLY CONDUCT,2300 ELLSWORTH ST,2017-03-26 21:00:00,37.867972,-122.263699,Sunday
17033517,DISTURBANCE,DISORDERLY CONDUCT,1800 SACRAMENTO ST,2017-06-11 12:10:00,37.872847,-122.282313,Sunday
